BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
1.8868349778376382e-23,2.9617525119585474e-23,1.316970139509625e-22,-9.404348213283589e-23,1.7765318032534306e-22,1.228113334767881e-22,1.8142397339157865e-22,1.0,2.377462283827006e-23,2.3853662580638682e-22,2017-07-11
3.7053337211210517e-25,2.222280798740006e-22,-1.6643232195315043e-22,2.2212289022115895e-22,1.0,1.113020879725041e-22,2.2240438894278875e-22,1.1132068942435314e-22,2.21817469718594e-22,3.104885787394905e-25,2017-07-18
-2.133611071152451e-22,5.697047522114742e-23,-1.630734511676073e-22,4.5220962979812465e-23,-1.0523812875564129e-22,-1.0830102046027462e-22,-3.245683903234201e-22,1.0,-1.0366768713834498e-22,-1.0672854274830036e-22,2017-07-25
0.5058347657709535,-6.481579910647989e-23,1.816815907402095e-22,4.797234832876789e-23,1.869717352285489e-22,1.3723691581014028e-22,3.2305563954086635e-23,6.240163928405071e-23,0.4941652342290465,-4.219133776873797e-23,2017-08-01
-1.6643572462069455e-22,1.1121883184756019e-22,1.0,-5.514056390388866e-23,1.113012859366973e-22,-8.303301330842198e-23,2.912333222077574e-25,1.1104993080359186e-22,-5.519982076773577e-23,1.1138911132581203e-22,2017-08-08
2.223389252651022e-22,3.054939680701541e-22,2.2270565970342115e-22,3.3354364901638134e-22,3.3367178182506435e-22,1.0,2.501864560121792e-22,1.113194553400597e-22,3.0537152057585204e-22,2.7809043697155837e-22,2017-08-15
-8.30405786069922e-23,0.7128271618234162,-1.1257079075269506e-22,-1.9173538805578335e-22,3.1268185745799843e-24,-2.0148465496273835e-22,0.2871728381765838,-1.7373107501995677e-22,2.829526230236717e-23,-1.6916505280899058e-22,2017-08-22
2.4668620822297087e-25,1.1167913851436245e-22,2.2262840131028043e-22,1.6664577222038202e-22,1.119816290388436e-22,1.6660481191980706e-22,1.0,1.7041103493024887e-22,2.7798100044828525e-22,1.1181530299787765e-22,2017-08-29
-1.3732048896395307e-22,-2.356787640445716e-22,-1.8606076483781998e-22,9.221351837558623e-23,-2.85717470381812e-22,-1.2950791101527107e-22,1.0,-7.280050683131883e-23,-2.3658482959439988e-23,-1.1819403561859802e-22,2017-09-05
-2.2057271272027714e-22,-1.098364486758042e-22,-2.211554398667473e-22,-4.427559500426395e-22,-5.417343714576701e-23,-1.6467160059975313e-22,1.0,-2.21623807018753e-22,-2.7714432348963657e-22,-1.1022686027961455e-22,2017-09-12
3.3427660425597716e-22,2.7950219691204615e-22,1.6862815390471902e-22,1.6895193999434457e-22,1.0,2.9240042956026536e-22,2.2439639823767307e-22,4.454199798877865e-22,8.517955383791418e-23,2.2520395380667095e-22,2017-09-19
1.709445386338067e-22,4.689313896214835e-24,1.706418372022781e-22,1.1388013142816607e-22,1.0,2.2714986410403617e-22,1.1484178888652045e-22,2.256309027189536e-22,3.3720741133473385e-22,6.1603001645452725e-24,2017-09-26
-1.673744332948699e-22,-4.6565180900736484e-23,-1.9770669486599316e-22,2.775431489629136e-22,1.0,1.0966215245417882e-22,-4.402031096975787e-24,-1.138899915639393e-22,1.0969236816261662e-22,-1.1302593263929876e-22,2017-10-03
2.6783418980871276e-22,-1.8244966657652163e-22,-1.7387274885834504e-22,3.693919451942166e-23,0.35258398371626665,-2.7770567575731536e-22,1.3018813831047943e-22,9.373013434315287e-23,0.6474160162837334,-6.689528805539311e-22,2017-10-10
