,Cumulative Return,Sharpe Ratio,Max Drawdown,Volatility
Optimized,0.00%,nan,0.00%,nan%
EqualWeighted,0.00%,nan,0.00%,nan%
BuyAndHold,0.00%,nan,0.00%,nan%
