,Cumulative Return,Sharpe Ratio,Max Drawdown,Volatility
Optimized,-10.68%,-1.92,-15.60%,14.46%
EqualWeighted,2.67%,0.62,-5.00%,12.03%
BuyAndHold,6.74%,0.90,-9.17%,20.75%
