time,open_BTC,high_BTC,low_BTC,close_BTC,volumefrom_BTC,volumeto_BTC,open_ETH,high_ETH,low_ETH,close_ETH,volumefrom_ETH,volumeto_ETH,open_ADA,high_ADA,low_ADA,close_ADA,volumefrom_ADA,volumeto_ADA,open_BNB,high_BNB,low_BNB,close_BNB,volumefrom_BNB,volumeto_BNB,open_XRP,high_XRP,low_XRP,close_XRP,volumefrom_XRP,volumeto_XRP,open_SOL,high_SOL,low_SOL,close_SOL,volumefrom_SOL,volumeto_SOL,open_DOT,high_DOT,low_DOT,close_DOT,volumefrom_DOT,volumeto_DOT,open_DOGE,high_DOGE,low_DOGE,close_DOGE,volumefrom_DOGE,volumeto_DOGE,open_MATIC,high_MATIC,low_MATIC,close_MATIC,volumefrom_MATIC,volumeto_MATIC,open_LTC,high_LTC,low_LTC,close_LTC,volumefrom_LTC,volumeto_LTC
2020-02-11,9858.03,10370.44,9716.32,10269.43,49240.73,495614708.0,223.19,239.59,229.62,237.74,3970106.08,943842318.04,0.06034,0.06383,0.05874,0.06383,11518563.31,710965.65,25.13,26.38,24.66,25.81,1897500.0,48968929.73,0.2733,0.2843,0.2671,0.2822,194987023.59,53687215.33,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002958,0.003104,0.002781,0.003029,11970563.39,35401.99,0.02159,0.02311,0.02177,0.023,386399325.0,8888545.84,74.03,78.59,75.92,76.82,1767109.11,135741080.74
2020-02-12,10269.43,10475.43,10250.55,10347.93,43484.9,449510878.91,237.74,276.91,239.45,265.94,6162261.7,1638802974.73,0.06383,0.07039,0.06383,0.06833,19704893.09,1307172.84,25.81,26.86,25.41,26.48,1753500.57,46433313.85,0.2822,0.3096,0.2818,0.305,318180602.48,94184429.79,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.003029,0.003374,0.003003,0.003039,25027914.93,77019.0,0.023,0.02463,0.02214,0.02287,635861254.0,14541463.52,76.82,82.88,77.22,81.23,2375336.43,192951548.57
2020-02-13,10347.93,10500.54,10081.02,10233.32,49389.81,507955951.95,265.94,273.74,258.19,268.52,5252002.2,1410279798.58,0.06833,0.07226,0.06546,0.06894,18738969.68,1296384.03,26.48,26.8,24.93,25.46,1815857.25,46232633.8,0.305,0.3396,0.3002,0.3276,516982853.96,166862453.12,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.003039,0.003228,0.002869,0.002988,57708118.21,179934.08,0.02287,0.02323,0.0219,0.02221,391704676.0,8698313.27,81.23,83.39,77.48,80.67,3518460.08,283831576.48
2020-02-14,10233.32,10387.37,10103.67,10360.37,28984.69,297409586.88,268.52,286.88,266.78,285.64,4264466.83,1218082692.61,0.06894,0.07129,0.06714,0.07083,9129714.45,635897.58,25.46,26.57,25.62,26.42,1945359.67,51394347.21,0.3276,0.3393,0.3106,0.3363,264212264.61,86828879.11,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002988,0.003291,0.002964,0.003095,31410170.57,97828.99,0.02221,0.02393,0.02248,0.02331,385657577.0,8989999.18,80.67,84.19,80.49,82.98,2343128.88,194423938.38
2020-02-15,10360.37,10388.6,9789.89,9905.43,29878.88,300819428.52,285.64,275.67,263.48,264.67,4640538.98,1228225789.25,0.07083,0.07138,0.06255,0.06423,18079494.19,1203187.7,26.42,25.61,23.69,24.25,1941086.0,47068409.58,0.3363,0.3469,0.2951,0.3075,269847384.58,87096479.56,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.003095,0.003179,0.002858,0.002895,37769075.9,112769.67,0.02331,0.02298,0.02011,0.0209,540641771.0,11299660.25,82.98,80.05,75.61,76.63,2855583.78,218818834.63
2020-02-16,9905.43,10042.6,9634.4,9925.51,27579.54,272176494.52,264.67,270.87,244.66,259.95,4751288.67,1235093246.39,0.06423,0.06702,0.05644,0.06216,20805263.44,1290746.12,24.25,24.95,22.43,23.36,2004631.68,46837518.66,0.3075,0.3189,0.2683,0.293,247666376.43,73128038.35,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002895,0.002975,0.002415,0.002727,19954405.74,55341.38,0.0209,0.02154,0.01906,0.02015,520658094.0,10490628.15,76.63,79.89,69.52,74.79,3865555.12,289099911.2
2020-02-17,9925.51,9958.46,9482.71,9702.48,37157.31,359702988.14,259.95,268.27,241.79,267.5,5155249.75,1379015768.38,0.06216,0.0627,0.05585,0.06024,9840911.37,576147.9,23.36,23.63,21.83,23.48,1911329.93,44878029.81,0.293,0.295,0.2695,0.2873,219594342.48,61550047.88,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002727,0.002784,0.002438,0.002724,24068645.15,63985.34,0.02015,0.02018,0.01902,0.02008,470131638.0,9442186.63,74.79,73.88,68.92,73.29,3296216.46,241588056.7
2020-02-18,9702.48,10274.35,9618.77,10182.6,38551.14,382869718.91,267.5,290.0,274.93,283.08,5131089.38,1452489694.04,0.06024,0.0637,0.0582,0.0629,12295638.53,758307.41,23.48,25.03,23.98,24.1,1540359.36,37126071.24,0.2873,0.3031,0.2758,0.2985,235617284.68,68807310.89,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002724,0.002887,0.002639,0.002868,8878450.64,24405.77,0.02008,0.02199,0.02087,0.02159,525767812.0,11349808.64,73.29,79.1,74.36,77.2,2913619.22,224944436.99
2020-02-19,10182.6,10300.04,9340.17,9602.43,47506.68,473100344.44,283.08,270.88,256.96,258.79,3119006.38,807153589.68,0.0629,0.0634,0.05697,0.0575,12432981.47,755361.17,24.1,23.12,22.0,22.37,1143071.39,25574692.81,0.2985,0.309,0.2707,0.2748,273138746.78,80143005.0,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002868,0.002889,0.002624,0.002624,12567037.74,35282.29,0.02159,0.02209,0.01959,0.02007,269869387.0,5416029.97,77.2,74.24,68.88,70.53,2388582.34,168466350.21
2020-02-20,9602.43,9698.59,9402.81,9608.8,36843.12,352949373.64,258.79,263.19,249.64,257.71,3750954.18,966650959.83,0.0575,0.059,0.05553,0.05827,11321753.98,649180.23,22.37,22.64,21.37,22.19,1174459.84,26057410.68,0.2748,0.2815,0.2623,0.2713,222791604.25,60641661.44,0.8681,1.338,0.5501,0.9483,0.0,0.0,2.869,3.218,2.848,2.848,0.0,0.0,0.002624,0.002766,0.002501,0.002661,19183492.41,51248.4,0.02007,0.02076,0.01941,0.02076,247046857.0,5127459.49,70.53,72.16,67.54,69.44,2535396.94,176065056.54
