time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2024-08-16,532.28,514.61,519.18,27928.85,14518936.26,519.85,multiply,BTC,BNB
2024-08-17,547.98,522.75,519.85,22271.56,12067794.44,541.85,multiply,BTC,BNB
2024-08-18,542.11,523.3,542.07,23927.51,12721300.68,531.66,multiply,ETH,BNB
2024-08-19,561.52,538.93,531.27,43082.06,24068573.98,558.67,multiply,BTC,BNB
2024-08-20,572.39,549.02,558.67,55325.45,31510987.92,569.56,multiply,BTC,BNB
2024-08-21,591.15,565.03,569.56,50744.58,28933190.77,570.17,multiply,BTC,BNB
2024-08-22,588.41,561.12,570.17,52280.83,30481777.74,583.04,multiply,BTC,BNB
2024-08-23,619.86,584.99,583.04,42699.87,25280163.25,592.04,multiply,BTC,BNB
2024-08-24,593.29,576.15,592.04,92095.1,53486235.87,580.77,multiply,BTC,BNB
2024-08-25,583.01,572.02,580.77,34633.32,19886604.03,574.2,multiply,BTC,BNB
2024-08-26,562.45,545.16,574.2,27126.26,14876894.27,548.43,multiply,BTC,BNB
2024-08-27,535.39,518.57,548.43,34118.76,18204029.2,533.55,multiply,BTC,BNB
2024-08-28,539.78,526.25,533.55,32410.47,17404442.89,537.0,multiply,BTC,BNB
2024-08-29,543.29,527.86,537.0,29443.54,15793709.03,536.41,multiply,BTC,BNB
2024-08-30,540.08,530.15,536.41,24448.33,13084184.68,535.18,multiply,BTC,BNB
2024-08-31,538.28,532.08,535.18,11629.41,6198779.52,533.03,multiply,BTC,BNB
2024-09-01,518.0,508.26,533.03,21764.36,11154164.43,512.5,multiply,BTC,BNB
2024-09-02,537.36,516.12,512.5,26941.44,14183982.98,526.47,multiply,BTC,BNB
2024-09-03,524.18,511.13,526.47,24456.08,12684357.25,518.66,multiply,BTC,BNB
2024-09-04,526.07,504.44,518.66,41552.83,21098432.98,507.75,multiply,BTC,BNB
2024-09-05,504.72,491.07,507.75,24672.89,12390545.82,502.19,multiply,BTC,BNB
2024-09-06,493.14,481.06,502.19,56949.87,27740264.09,487.1,multiply,BTC,BNB
2024-09-07,494.61,486.7,487.1,24635.57,12159555.07,493.58,multiply,BTC,BNB
2024-09-08,509.66,498.8,493.58,25498.71,12832058.95,503.24,multiply,BTC,BNB
2024-09-09,527.2,515.96,503.24,29877.92,15499349.39,518.76,multiply,BTC,BNB
2024-09-10,527.02,516.82,518.76,21866.54,11306151.3,517.05,multiply,BTC,BNB
2024-09-11,531.96,513.66,517.05,33791.56,17919582.51,530.3,multiply,BTC,BNB
2024-09-12,551.52,537.51,530.3,53843.26,29316945.02,544.49,multiply,BTC,BNB
2024-09-13,577.51,556.26,544.49,43306.13,24110253.23,556.74,multiply,BTC,BNB
2024-09-14,554.64,551.22,556.74,16936.51,9375413.6,553.56,multiply,BTC,BNB
2024-09-15,559.34,543.25,553.56,23228.57,12856638.73,553.48,multiply,BTC,BNB
2024-09-16,547.64,531.46,553.48,37583.5,20054975.09,533.61,multiply,BTC,BNB
2024-09-17,556.35,540.78,533.61,26708.59,14590163.4,546.27,multiply,BTC,BNB
2024-09-18,565.37,555.98,546.27,23924.97,13390510.49,559.69,multiply,BTC,BNB
2024-09-19,570.64,560.37,559.69,30324.22,17195302.57,567.05,multiply,BTC,BNB
2024-09-20,572.32,563.72,567.05,25246.77,14367756.66,569.09,multiply,BTC,BNB
2024-09-21,591.12,570.46,569.09,27513.09,16200641.15,588.83,multiply,BTC,BNB
2024-09-22,597.47,584.94,588.83,25641.66,15093425.32,588.63,multiply,BTC,BNB
2024-09-23,615.81,586.04,588.63,53719.06,32481898.2,604.66,multiply,BTC,BNB
2024-09-24,619.56,604.71,604.66,36875.09,22348684.19,606.06,multiply,BTC,BNB
2024-09-25,597.1,583.96,606.06,29990.05,17615351.9,587.37,multiply,BTC,BNB
2024-09-26,609.53,595.26,587.37,32614.75,19454563.21,596.5,multiply,BTC,BNB
2024-09-27,617.31,602.05,596.5,34494.16,20941842.74,607.11,multiply,BTC,BNB
2024-09-28,615.54,598.09,607.11,25516.72,15338546.49,601.12,multiply,BTC,BNB
2024-09-29,599.63,594.05,601.12,19188.53,11429178.82,595.63,multiply,BTC,BNB
2024-09-30,575.22,563.95,595.63,34333.48,19475233.34,567.24,multiply,BTC,BNB
2024-10-01,553.86,535.62,567.24,42731.19,23376086.8,547.05,multiply,BTC,BNB
2024-10-02,547.41,535.83,547.05,26919.56,14602270.38,542.44,multiply,BTC,BNB
2024-10-03,546.29,537.18,542.44,20977.15,11425241.96,544.65,multiply,BTC,BNB
2024-10-04,559.78,553.51,544.65,15236.72,8463898.32,555.49,multiply,BTC,BNB
2024-10-05,564.55,554.69,555.49,14276.1,8036572.21,562.94,multiply,BTC,BNB
2024-10-06,577.46,566.34,562.94,14173.79,8083254.85,570.3,multiply,BTC,BNB
2024-10-07,566.42,559.95,570.3,21948.38,12381494.43,564.12,multiply,BTC,BNB
2024-10-08,585.01,560.28,564.12,47945.24,27833888.2,580.53,multiply,BTC,BNB
2024-10-09,570.77,558.54,580.53,43605.48,24857144.06,570.05,multiply,BTC,BNB
2024-10-10,568.02,558.5,570.05,29724.59,16742668.72,563.26,multiply,BTC,BNB
2024-10-11,585.23,568.35,563.26,32510.83,18646092.74,573.53,multiply,BTC,BNB
2024-10-12,584.32,575.66,573.53,16285.25,9387145.61,576.42,multiply,BTC,BNB
2024-10-13,577.32,570.15,576.42,13164.33,7529677.76,571.98,multiply,BTC,BNB
2024-10-14,603.14,586.82,571.98,44290.43,26092846.95,589.13,multiply,BTC,BNB
2024-10-15,608.08,591.58,589.13,39168.78,23286955.11,594.53,multiply,BTC,BNB
2024-10-16,603.12,592.3,594.53,50249.76,30194675.16,600.89,multiply,BTC,BNB
2024-10-17,603.98,590.03,600.89,30392.68,18012488.8,592.66,multiply,BTC,BNB
2024-10-18,603.17,597.22,592.66,29277.25,17539016.49,599.07,multiply,BTC,BNB
2024-10-19,600.7,597.42,599.07,6558.87,3921522.14,597.9,multiply,BTC,BNB
2024-10-20,606.42,601.45,597.9,14803.61,8967979.42,605.8,multiply,BTC,BNB
2024-10-21,601.51,587.03,605.8,37855.77,22655810.46,598.48,multiply,BTC,BNB
2024-10-22,601.39,591.15,598.48,25770.86,15291700.75,593.37,multiply,BTC,BNB
2024-10-23,587.66,579.93,593.37,19520.7,11406510.58,584.33,multiply,BTC,BNB
2024-10-24,601.07,592.07,584.33,19738.87,11727130.9,594.11,multiply,BTC,BNB
2024-10-25,584.29,571.37,594.11,30849.12,17714590.94,574.23,multiply,BTC,BNB
2024-10-26,584.7,575.12,574.23,10856.37,6325203.16,582.63,multiply,BTC,BNB
2024-10-27,592.55,587.25,582.63,8491.77,4998907.08,588.68,multiply,BTC,BNB
2024-10-28,607.45,595.98,588.68,30759.39,18478174.65,600.73,multiply,BTC,BNB
2024-10-29,628.41,602.3,600.73,35531.86,21542868.54,606.3,multiply,BTC,BNB
2024-10-30,604.77,595.0,606.3,17792.06,10592758.46,595.36,multiply,BTC,BNB
2024-10-31,579.98,564.96,595.36,48990.07,28203672.85,575.7,multiply,BTC,BNB
2024-11-01,580.17,565.03,575.7,23666.28,13552952.44,572.67,multiply,BTC,BNB
2024-11-02,574.6,563.85,572.67,7925.72,4506280.44,568.56,multiply,BTC,BNB
2024-11-03,567.23,554.44,568.56,19364.36,10799038.6,557.68,multiply,BTC,BNB
2024-11-04,557.62,549.01,557.68,12860.27,7100475.25,552.12,multiply,BTC,BNB
2024-11-05,566.89,560.71,552.12,22334.37,12580519.85,563.28,multiply,BTC,BNB
2024-11-06,614.53,583.14,563.28,98491.03,58372419.81,592.67,multiply,BTC,BNB
2024-11-07,616.79,592.42,592.67,27828.93,16659738.93,598.65,multiply,BTC,BNB
2024-11-08,609.13,591.06,598.65,24150.25,14442530.62,598.03,multiply,BTC,BNB
2024-11-09,641.5,599.23,598.03,49611.27,30999858.03,624.86,multiply,BTC,BNB
2024-11-10,658.48,622.28,624.86,67678.35,42485199.34,627.75,multiply,BTC,BNB
2024-11-11,704.3,638.62,627.75,69433.28,45857250.37,660.45,multiply,BTC,BNB
2024-11-12,661.36,616.28,660.45,59369.59,37163477.73,625.97,multiply,BTC,BNB
