date,n_articles,mean_sentiment,mean_title_sentiment,mean_body_sentiment
2025-05-26,672,0.3742520833333333,0.09456845238095239,0.6539357142857143
2025-05-27,972,0.3931499485596708,0.08993683127572016,0.6963630658436214
2025-05-28,995,0.36336236180904524,0.07841537688442211,0.6483093467336684
2025-05-29,925,0.3992687027027027,0.1215878918918919,0.6769495135135135
2025-05-30,915,0.32196595628415303,0.07434,0.569591912568306
2025-05-31,492,0.33086392276422766,0.07157845528455284,0.5901493902439024
2025-06-01,326,0.326017791411043,0.10491257668711658,0.5471230061349693
2025-06-02,838,0.3454987470167064,0.08323412887828163,0.6077633651551313
2025-06-03,1025,0.35262614634146344,0.10560029268292684,0.599652
2025-06-04,1020,0.3598103431372549,0.10135333333333332,0.6182673529411765
2025-06-05,715,0.34771874125874125,0.11580895104895104,0.5796285314685314
